A.  .closed_3_body.Last_Run.TIME (sec)
B.  .closed_3_body.Last_Run.joint1_MEA_1.Q (deg/sec**2)
C.  .closed_3_body.Last_Run.joint2_MEA_1.Q (deg/sec**2)
D.  .closed_3_body.Last_Run.joint3_MEA_1.Q (deg/sec**2)

       A               B               C               D         
 1.155000E+00    1.505191E-09   -1.197415E-09    8.300010E+02   
 1.160000E+00   -7.881669E-10    7.279145E-10    9.428200E+02   
 1.165000E+00    0.000000E+00    0.000000E+00    1.053144E+03   
 1.170000E+00   -2.827386E-10    1.135840E-10    1.160731E+03   
 1.175000E+00    0.000000E+00   -2.029448E-10    1.265360E+03   
 1.180000E+00   -1.630480E-10    0.000000E+00    1.366835E+03   
 1.185000E+00    0.000000E+00    0.000000E+00    1.464982E+03   
 1.190000E+00   -1.277921E-09    5.996745E-10    1.559655E+03   
 1.195000E+00    1.454811E-09   -7.904060E-10    1.650729E+03   
 1.200000E+00   -5.595741E-10    0.000000E+00    1.738109E+03   
 1.205000E+00    1.494708E-09   -5.510247E-10    1.821718E+03   
 1.210000E+00   -1.288506E-09    5.565207E-10    1.901508E+03   
 1.215000E+00    8.174789E-10   -4.445652E-10    1.977449E+03   
 1.220000E+00   -2.145475E-10    2.133262E-10    2.049534E+03   
 1.225000E+00    0.000000E+00    0.000000E+00    2.117776E+03   
 1.230000E+00    0.000000E+00    0.000000E+00    2.182206E+03   
 1.235000E+00    0.000000E+00    0.000000E+00    2.242869E+03   
 1.240000E+00    0.000000E+00    0.000000E+00    2.299828E+03   
 1.245000E+00    0.000000E+00    0.000000E+00    2.353156E+03   
 1.250000E+00    0.000000E+00    0.000000E+00    2.402939E+03   
 1.255000E+00    0.000000E+00    0.000000E+00    2.449269E+03   
 1.260000E+00    0.000000E+00    0.000000E+00    2.492248E+03   
 1.265000E+00    0.000000E+00    0.000000E+00    2.531982E+03   
 1.270000E+00    0.000000E+00    0.000000E+00    2.568579E+03   
 1.275000E+00    0.000000E+00    0.000000E+00    2.602152E+03   
 1.280000E+00    0.000000E+00    0.000000E+00    2.632810E+03   
 1.285000E+00    0.000000E+00    0.000000E+00    2.660665E+03   
 1.290000E+00    0.000000E+00    0.000000E+00    2.685823E+03   
 1.295000E+00    0.000000E+00    0.000000E+00    2.708388E+03   
 1.300000E+00    0.000000E+00    0.000000E+00    2.728457E+03   
 1.305000E+00    0.000000E+00    0.000000E+00    2.746122E+03   
 1.310000E+00    0.000000E+00    0.000000E+00    2.761467E+03   
 1.315000E+00    0.000000E+00    0.000000E+00    2.774569E+03   
 1.320000E+00    0.000000E+00    0.000000E+00    2.785494E+03   
 1.325000E+00    0.000000E+00    0.000000E+00    2.794300E+03   
 1.330000E+00    0.000000E+00    0.000000E+00    2.801035E+03   
 1.335000E+00    0.000000E+00    0.000000E+00    2.805735E+03   
 1.340000E+00    0.000000E+00    0.000000E+00    2.808427E+03   
 1.345000E+00    0.000000E+00    0.000000E+00    2.809127E+03   
 1.350000E+00    0.000000E+00    0.000000E+00    2.807838E+03   
 1.355000E+00    0.000000E+00    0.000000E+00    2.804552E+03   
 1.360000E+00    0.000000E+00    0.000000E+00    2.799252E+03   
 1.365000E+00    0.000000E+00    0.000000E+00    2.791907E+03   
 1.370000E+00    0.000000E+00    0.000000E+00    2.782478E+03   
 1.375000E+00    0.000000E+00    0.000000E+00    2.770915E+03   
 1.380000E+00    0.000000E+00    0.000000E+00    2.757155E+03   
 1.385000E+00    0.000000E+00    0.000000E+00    2.741131E+03   
 1.390000E+00    0.000000E+00    0.000000E+00    2.722762E+03   
 1.395000E+00    0.000000E+00    0.000000E+00    2.701963E+03   
 1.400000E+00    0.000000E+00    0.000000E+00    2.678640E+03   
 1.405000E+00    0.000000E+00    0.000000E+00    2.652693E+03   
 1.410000E+00    0.000000E+00    0.000000E+00    2.624018E+03   
 1.415000E+00    0.000000E+00    0.000000E+00    2.592507E+03   
 1.420000E+00    0.000000E+00    0.000000E+00    2.558050E+03   
 1.425000E+00    0.000000E+00    0.000000E+00    2.520535E+03   
 1.430000E+00    0.000000E+00    0.000000E+00    2.479850E+03   
 1.435000E+00    0.000000E+00    0.000000E+00    2.435889E+03   
 1.440000E+00    0.000000E+00    0.000000E+00    2.388546E+03   
 1.445000E+00    0.000000E+00    0.000000E+00    2.337722E+03   
 1.450000E+00    0.000000E+00    0.000000E+00    2.283327E+03   
 1.455000E+00    0.000000E+00    0.000000E+00    2.225277E+03   
 1.460000E+00    0.000000E+00    0.000000E+00    2.163504E+03   
 1.465000E+00    0.000000E+00    0.000000E+00    2.097950E+03   
 1.470000E+00    0.000000E+00    0.000000E+00    2.028573E+03   
 1.475000E+00    0.000000E+00    0.000000E+00    1.955346E+03   
 1.480000E+00    0.000000E+00    0.000000E+00    1.878265E+03   
 1.485000E+00    0.000000E+00    0.000000E+00    1.797341E+03   
 1.490000E+00    0.000000E+00    0.000000E+00    1.712610E+03   
 1.495000E+00    0.000000E+00    0.000000E+00    1.624129E+03   
 1.500000E+00   -1.213191E-10    0.000000E+00    1.531979E+03   
 1.505000E+00    1.203013E-10    0.000000E+00    1.436265E+03   
 1.510000E+00    0.000000E+00    0.000000E+00    1.337117E+03   
 1.515000E+00    1.499593E-09   -2.354323E-09    1.234691E+03   
 1.520000E+00   -2.457118E-09    3.855341E-09    1.129167E+03   
 1.525000E+00    1.726354E-09   -3.010179E-09    1.020747E+03   
 1.530000E+00   -8.690802E-10    1.329116E-09    9.096597E+02   
 1.535000E+00    0.000000E+00   -2.953590E-10    7.961534E+02   
 1.540000E+00    3.466550E-10    8.927944E-10    6.804980E+02   
 1.545000E+00   -9.708580E-10   -1.367384E-09    5.629816E+02   
 1.550000E+00    5.246643E-10    1.356189E-09    4.439085E+02   
 1.555000E+00   -2.298650E-10   -4.311305E-10    3.235972E+02   
 1.560000E+00    0.000000E+00    3.531179E-10    2.023770E+02   
 1.565000E+00   -8.682787E-10    1.032268E-09    8.058591E+01   
 1.570000E+00    1.934388E-09   -6.323197E-10   -4.143326E+01   
 1.575000E+00   -9.004278E-10   -1.876909E-09   -1.633354E+02   
 1.580000E+00    1.380106E-10    2.011790E-09   -2.847764E+02   
 1.585000E+00    1.477304E-10   -1.155330E-09   -4.054166E+02   
 1.590000E+00   -2.105069E-09    1.136857E-09   -5.249235E+02   
 1.595000E+00    2.600523E-09    1.205049E-10   -6.429747E+02   
 1.600000E+00   -3.965261E-10   -1.561474E-09   -7.592611E+02   
 1.605000E+00    0.000000E+00    1.338377E-09   -8.734891E+02   
 1.610000E+00    1.604424E-09   -6.572807E-10   -9.853828E+02   
 1.615000E+00   -2.226286E-09   -4.290950E-10   -1.094686E+03   
 1.620000E+00    1.650632E-09    2.220791E-10   -1.201165E+03   
 1.625000E+00   -7.981411E-10   -2.430453E-10   -1.304608E+03   
 1.630000E+00    1.296649E-10    0.000000E+00   -1.404827E+03   
 1.635000E+00   -1.467635E-10    0.000000E+00   -1.501660E+03   
 1.640000E+00    6.517847E-10   -1.250034E-09   -1.594968E+03   
 1.645000E+00   -9.111144E-10    1.434252E-09   -1.684638E+03   
 1.650000E+00    3.607003E-10   -5.573350E-10   -1.770581E+03   
 1.655000E+00   -6.281723E-10    1.361786E-09   -1.852732E+03   
 1.660000E+00    4.376443E-10   -1.113449E-09   -1.931050E+03   
 1.665000E+00   -2.239110E-10    6.904603E-10   -2.005514E+03   
 1.670000E+00    0.000000E+00   -1.966346E-10   -2.076125E+03   
 1.675000E+00    0.000000E+00    0.000000E+00   -2.142902E+03   
 1.680000E+00    0.000000E+00    0.000000E+00   -2.205883E+03   
 1.685000E+00    0.000000E+00    0.000000E+00   -2.265119E+03   
 1.690000E+00    0.000000E+00    0.000000E+00   -2.320679E+03   
 1.695000E+00    0.000000E+00    0.000000E+00   -2.372638E+03   
 1.700000E+00    0.000000E+00    0.000000E+00   -2.421087E+03   
 1.705000E+00    0.000000E+00    0.000000E+00   -2.466122E+03   
 1.710000E+00    0.000000E+00    0.000000E+00   -2.507845E+03   
 1.715000E+00    0.000000E+00    0.000000E+00   -2.546364E+03   
 1.720000E+00    0.000000E+00    0.000000E+00   -2.581790E+03   
 1.725000E+00    0.000000E+00    0.000000E+00   -2.614233E+03   
 1.730000E+00    0.000000E+00    0.000000E+00   -2.643805E+03   
 1.735000E+00    0.000000E+00    0.000000E+00   -2.670615E+03   
 1.740000E+00    0.000000E+00    0.000000E+00   -2.694768E+03   
 1.745000E+00    0.000000E+00    0.000000E+00   -2.716366E+03   
 1.750000E+00    0.000000E+00    0.000000E+00   -2.735504E+03   
 1.755000E+00    0.000000E+00    0.000000E+00   -2.752271E+03   
 1.760000E+00    0.000000E+00    0.000000E+00   -2.766748E+03   
 1.765000E+00    0.000000E+00    0.000000E+00   -2.779008E+03   
 1.770000E+00    0.000000E+00    0.000000E+00   -2.789116E+03   
 1.775000E+00    0.000000E+00    0.000000E+00   -2.797123E+03   
 1.780000E+00    0.000000E+00    0.000000E+00   -2.803075E+03   
 1.785000E+00    0.000000E+00    0.000000E+00   -2.807004E+03   
