time,beta_dot1_x,beta_dot1_y,beta_dot1_z,beta_dot2_x,beta_dot2_y,beta_dot2_z,beta_dot3_x,beta_dot3_y,beta_dot3_z
1.38,0,-0.00990138,0,0,0.0196677,0,0,-48.1269,0
1.385,0,-0.00966959,0,0,0.0191819,0,0,-47.8446,0
1.39,0,-0.00940065,0,0,0.0186226,0,0,-47.5213,0
1.395,0,-0.0090932,0,0,0.0179869,0,0,-47.1555,0
1.4,0,-0.00874584,0,0,0.0172724,0,0,-46.7454,0
1.405,0,-0.00835721,0,0,0.0164764,0,0,-46.2895,0
1.41,0,-0.00792605,0,0,0.0155965,0,0,-45.7857,0
1.415,0,-0.00745121,0,0,0.0146306,0,0,-45.2323,0
1.42,0,-0.00693175,0,0,0.0135769,0,0,-44.6273,0
1.425,0,-0.00636696,0,0,0.012434,0,0,-43.9687,0
1.43,0,-0.00575647,0,0,0.0112015,0,0,-43.2545,0
1.435,0,-0.00510028,0,0,0.00987936,0,0,-42.483,0
1.44,0,-0.00439881,0,0,0.0084686,0,0,-41.6522,0
1.445,0,-0.00365299,0,0,0.00697117,0,0,-40.7604,0
1.45,0,-0.00286431,0,0,0.00539013,0,0,-39.8061,0
1.455,0,-0.00203484,0,0,0.00372973,0,0,-38.7877,0
1.46,0,-0.00116732,0,0,0.00199548,0,0,-37.7041,0
1.465,0,-0.000265176,0,0,0.000194246,0,0,-36.5543,0
1.47,0,0.000667487,0,0,-0.00166571,0,0,-35.3376,0
1.475,0,0.00162583,0,0,-0.00357475,0,0,-34.0535,0
1.48,0,0.0026043,0,0,-0.00552182,0,0,-32.7019,0
1.485,0,0.00359666,0,0,-0.00749451,0,0,-31.2831,0
1.49,0,0.00459601,0,0,-0.00947916,0,0,-29.7977,0
1.495,0,0.00559485,0,0,-0.0114609,0,0,-28.2467,0
1.5,0,0.00658518,0,0,-0.013424,0,0,-26.6317,0
1.505,0,0.00755851,0,0,-0.0153515,0,0,-24.9544,0
1.51,0,0.00850608,0,0,-0.0172264,0,0,-23.2172,0
1.515,0,0.0094189,0,0,-0.0190309,0,0,-21.4228,0
1.52,0,0.0102879,0,0,-0.0207471,0,0,-19.5745,0
1.525,0,0.0111042,0,0,-0.0223576,0,0,-17.6757,0
1.53,0,0.011859,0,0,-0.0238453,0,0,-15.7306,0
1.535,0,0.0125439,0,0,-0.0251938,0,0,-13.7435,0
1.54,0,0.0131513,0,0,-0.026388,0,0,-11.7192,0
1.545,0,0.0136741,0,0,-0.0274143,0,0,-9.66273,0
1.55,0,0.0141061,0,0,-0.0282605,0,0,-7.57947,0
1.555,0,0.0144421,0,0,-0.0289165,0,0,-5.47502,0
1.56,0,0.0146779,0,0,-0.0293745,0,0,-3.35516,0
1.565,0,0.0148107,0,0,-0.0296288,0,0,-1.22584,0
1.57,0,0.0148387,0,0,-0.0296764,0,0,0.90693,0
1.575,0,0.0147617,0,0,-0.0295165,0,0,3.0371,0
1.58,0,0.0145804,0,0,-0.0291512,0,0,5.15865,0
1.585,0,0.0142972,0,0,-0.0285847,0,0,7.26563,0
1.59,0,0.0139153,0,0,-0.0278241,0,0,9.35222,0
1.595,0,0.0134394,0,0,-0.0268782,0,0,11.4128,0
1.6,0,0.0128752,0,0,-0.0257583,0,0,13.442,0
1.605,0,0.0122291,0,0,-0.0244774,0,0,15.4346,0
1.61,0,0.0115086,0,0,-0.0230498,0,0,17.3859,0
1.615,0,0.0107217,0,0,-0.0214915,0,0,19.2915,0
1.62,0,0.00987694,0,0,-0.0198192,0,0,21.1472,0
1.625,0,0.0089832,0,0,-0.0180502,0,0,22.9494,0
1.63,0,0.00804952,0,0,-0.0162024,0,0,24.6949,0
1.635,0,0.007085,0,0,-0.0142935,0,0,26.3809,0
1.64,0,0.0060986,0,0,-0.0123412,0,0,28.0049,0
1.645,0,0.00509902,0,0,-0.0103623,0,0,29.5651,0
1.65,0,0.0040946,0,0,-0.00837335,0,0,31.0599,0
1.655,0,0.00309319,0,0,-0.00638963,0,0,32.4883,0
1.66,0,0.0021021,0,0,-0.00442545,0,0,33.8495,0
1.665,0,0.00112799,0,0,-0.00249388,0,0,35.1433,0
1.67,0,0.000176839,0,0,-0.000606633,0,0,36.3697,0
1.675,0,-0.000746064,0,0,0.00122592,0,0,37.5291,0
1.68,0,-0.00163616,0,0,0.00299483,0,0,38.6222,0
1.685,0,-0.00248962,0,0,0.00469255,0,0,39.6499,0
1.69,0,-0.00330331,0,0,0.00631291,0,0,40.6135,0
1.695,0,-0.00407476,0,0,0.00785106,0,0,41.5143,0
1.7,0,-0.00480215,0,0,0.00930336,0,0,42.3538,0
1.705,0,-0.00548426,0,0,0.0106674,0,0,43.1339,0
1.71,0,-0.00612037,0,0,0.0119416,0,0,43.8563,0
1.715,0,-0.00671026,0,0,0.0131256,0,0,44.523,0
1.72,0,-0.00725413,0,0,0.0142197,0,0,45.1357,0
1.725,0,-0.00775252,0,0,0.0152248,0,0,45.6966,0
1.73,0,-0.00820625,0,0,0.0161426,0,0,46.2076,0
1.735,0,-0.00861638,0,0,0.016975,0,0,46.6705,0
1.74,0,-0.00898415,0,0,0.0177243,0,0,47.0873,0
1.745,0,-0.00931088,0,0,0.0183931,0,0,47.4596,0
1.75,0,-0.00959798,0,0,0.018984,0,0,47.7892,0
1.755,0,-0.00984684,0,0,0.0194997,0,0,48.0776,0
1.76,0,-0.0100588,0,0,0.0199429,0,0,48.3262,0
1.765,0,-0.0102353,0,0,0.020316,0,0,48.5362,0
1.77,0,-0.0103773,0,0,0.0206211,0,0,48.7089,0
1.775,0,-0.0104861,0,0,0.0208604,0,0,48.845,0
1.78,0,-0.0105624,0,0,0.0210354,0,0,48.9453,0
1.785,0,-0.010607,0,0,0.0211475,0,0,49.0105,0
1.79,0,-0.0106203,0,0,0.0211975,0,0,49.0408,0
1.795,0,-0.0106028,0,0,0.0211859,0,0,49.0364,0
1.8,0,-0.0105544,0,0,0.0211128,0,0,48.9974,0
1.805,0,-0.0104751,0,0,0.0209779,0,0,48.9234,0
1.81,0,-0.0103646,0,0,0.0207805,0,0,48.8142,0
1.815,0,-0.0102223,0,0,0.0205193,0,0,48.6689,0
1.82,0,-0.0100476,0,0,0.0201929,0,0,48.487,0
1.825,0,-0.00983961,0,0,0.0197994,0,0,48.2674,0
1.83,0,-0.0095973,0,0,0.0193369,0,0,48.0089,0
1.835,0,-0.00931959,0,0,0.0188028,0,0,47.7103,0
1.84,0,-0.00900532,0,0,0.0181949,0,0,47.3702,0
1.845,0,-0.00865327,0,0,0.0175105,0,0,46.9868,0
1.85,0,-0.00826223,0,0,0.0167471,0,0,46.5587,0
1.855,0,-0.00783107,0,0,0.0159023,0,0,46.0838,0
1.86,0,-0.00735872,0,0,0.014974,0,0,45.5605,0
1.865,0,-0.0068443,0,0,0.0139601,0,0,44.9868,0
1.87,0,-0.00628714,0,0,0.0128592,0,0,44.3606,0
1.875,0,-0.00568683,0,0,0.0116704,0,0,43.6802,0
1.88,0,-0.00504331,0,0,0.0103935,0,0,42.9435,0
1.885,0,-0.00435689,0,0,0.00902899,0,0,42.1486,0
1.89,0,-0.00362834,0,0,0.00757829,0,0,41.2939,0
1.895,0,-0.00285894,0,0,0.00604389,0,0,40.3775,0
1.9,0,-0.00205051,0,0,0.00442935,0,0,39.3979,0
1.905,0,-0.00120549,0,0,0.00273947,0,0,38.3539,0
1.91,0,-0.000326916,0,0,0.000980342,0,0,37.2443,0
1.915,0,0.000581481,0,0,-0.000840631,0,0,36.0681,0
1.92,0,0.00151531,0,0,-0.00271465,0,0,34.8248,0
1.925,0,0.00246951,0,0,-0.00463155,0,0,33.5141,0
1.93,0,0.00343834,0,0,-0.00657981,0,0,32.136,0
1.935,0,0.00441546,0,0,-0.00854662,0,0,30.6908,0
1.94,0,0.0053939,0,0,-0.0105179,0,0,29.1795,0
1.945,0,0.00636621,0,0,-0.0124787,0,0,27.6032,0
1.95,0,0.00732448,0,0,-0.0144128,0,0,25.9634,0
1.955,0,0.00826044,0,0,-0.0163036,0,0,24.2623,0
1.96,0,0.0091656,0,0,-0.0181339,0,0,22.5023,0
1.965,0,0.0100314,0,0,-0.019886,0,0,20.6864,0
1.97,0,0.0108492,0,0,-0.0215427,0,0,18.8178,0
1.975,0,0.0116107,0,0,-0.0230868,0,0,16.9004,0
1.98,0,0.0123078,0,0,-0.0245018,0,0,14.9383,0
1.985,0,0.0129328,0,0,-0.0257721,0,0,12.936,0
